                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
179,1.0965,0.94896,1.0392,0.90651,0.68376,0.773,0.54119,0.95974,0.75545,1.0128,0.00077972,0.00077972,0.00077972
180,1.1091,0.95634,1.0471,0.88321,0.68854,0.77567,0.53847,0.99567,0.78578,1.0311,0.00077849,0.00077849,0.00077849
181,1.105,0.9667,1.039,0.89174,0.70487,0.7839,0.54662,0.96607,0.7488,1.0174,0.00077725,0.00077725,0.00077725
182,1.1051,0.9454,1.05,0.88542,0.70832,0.78277,0.54592,0.96619,0.78782,1.0137,0.00077601,0.00077601,0.00077601
183,1.0923,0.93194,1.0356,0.8734,0.70918,0.78728,0.55616,0.94217,0.77558,1.0015,0.00077478,0.00077478,0.00077478
184,1.0704,0.91499,1.0239,0.89719,0.7168,0.79781,0.56407,0.9421,0.73701,1.0045,0.00077354,0.00077354,0.00077354
185,1.0951,0.93278,1.0326,0.88381,0.70186,0.79104,0.54884,0.95699,0.74889,1.0082,0.0007723,0.0007723,0.0007723
186,1.1034,0.93973,1.048,0.83093,0.73773,0.77686,0.54334,0.97366,0.83559,1.0148,0.00077106,0.00077106,0.00077106
187,1.0782,0.9386,1.0388,0.88689,0.73376,0.80235,0.56466,0.9382,0.73083,1.0042,0.00076983,0.00076983,0.00076983
188,1.0799,0.90766,1.0435,0.8893,0.73661,0.81173,0.5763,0.92878,0.69919,0.9966,0.00076859,0.00076859,0.00076859
189,1.093,0.89564,1.0326,0.88271,0.71692,0.78174,0.53056,1.0192,0.76607,1.0402,0.00076735,0.00076735,0.00076735
190,1.1007,0.91051,1.048,0.86133,0.73435,0.79986,0.56036,0.9584,0.70748,1.0084,0.00076611,0.00076611,0.00076611
